,Store ID,City,State,Sales Region,New Expansion,Marketing Spend,Revenue,ROI,Profit,ROMS,ROMS%
0,1,Peoria,Arizona,Region 2,Old,2601,48610,1868.9,46009,1768.9,17.689
1,2,Midland,Texas,Region 2,Old,2727,45689,1675.43,42962,1575.43,15.7543
2,3,Spokane,Washington,Region 2,Old,2768,49554,1790.25,46786,1690.25,16.9025
3,4,Denton,Texas,Region 2,Old,2759,38284,1387.6,35525,1287.6,12.876
4,5,Overland Park,Kansas,Region 2,Old,2869,59887,2087.38,57018,1987.38,19.873800000000003
5,6,Yonkers,New York,Region 1,Old,3080,53827,1747.63,50747,1647.63,16.476300000000002
6,7,Birmingham,Alabama,Region 1,Old,3110,60338,1940.13,57228,1840.13,18.401300000000003
7,8,Antioch,California,Region 2,Old,2593,19569,754.69,16976,654.69,6.546900000000001
8,9,Worcester,Massachusetts,Region 1,Old,2675,59840,2237.01,57165,2137.01,21.3701
9,10,Rochester,New York,Region 1,Old,2984,64906,2175.13,61922,2075.13,20.7513
10,11,Rialto,California,Region 2,Old,2541,16860,663.52,14319,563.52,5.6352
11,12,Santa Maria,California,Region 2,Old,2651,21988,829.42,19337,729.42,7.2942
12,13,Las Cruces,New Mexico,Region 2,Old,2895,19888,686.98,16993,586.98,5.869800000000001
13,14,Jackson,Mississippi,Region 1,Old,3466,54701,1578.22,51235,1478.22,14.7822
14,15,Hillsboro,Oregon,Region 2,Old,2686,18471,687.68,15785,587.68,5.876799999999999
15,16,Temecula,California,Region 2,Old,2795,16690,597.14,13895,497.14,4.9714
16,17,Tallahassee,Florida,Region 1,Old,2737,47729,1743.84,44992,1643.84,16.438399999999998
17,18,Fontana,California,Region 2,Old,3085,63027,2043.01,59942,1943.01,19.4301
18,19,Kent,Washington,Region 2,Old,2894,43183,1492.16,40289,1392.16,13.921600000000002
19,20,Broken Arrow,Oklahoma,Region 2,Old,2765,19120,691.5,16355,591.5,5.915
20,21,Concord,California,Region 2,Old,2521,38178,1514.4,35657,1414.4,14.144
21,22,Modesto,California,Region 2,Old,3077,56836,1847.12,53759,1747.12,17.4712
22,23,Montgomery,Alabama,Region 1,Old,3287,52114,1585.46,48827,1485.46,14.8546
23,24,Burbank,California,Region 2,Old,3679,20123,546.97,16444,446.97,4.4697000000000005
24,25,Elk Grove,California,Region 2,Old,2918,49856,1708.57,46938,1608.57,16.0857
25,26,Port St. Lucie,Florida,Region 1,Old,2420,55790,2305.37,53370,2205.37,22.0537
26,27,Elizabeth,New Jersey,Region 1,Old,2557,45017,1760.54,42460,1660.54,16.6054
27,28,Salt Lake City,Utah,Region 2,Old,3620,56921,1572.4,53301,1472.4,14.724
28,29,Waco,Texas,Region 2,Old,2483,39744,1600.64,37261,1500.64,15.006400000000001
29,30,Edison,New Jersey,Region 1,Old,3131,22972,733.7,19841,633.7,6.337000000000001
30,31,Boulder,Colorado,Region 2,Old,3083,22680,735.65,19597,635.65,6.3565
31,32,Grand Rapids,Michigan,Region 1,Old,2808,65475,2331.73,62667,2231.73,22.3173
32,33,Tyler,Texas,Region 2,Old,2984,21718,727.82,18734,627.82,6.278200000000001
33,34,Charleston,South Carolina,Region 1,Old,2484,34829,1402.13,32345,1302.13,13.021300000000002
34,35,Huntsville,Alabama,Region 1,Old,3335,59283,1777.6,55948,1677.6,16.776
35,36,Pearland,Texas,Region 2,Old,3127,20057,641.41,16930,541.41,5.4140999999999995
36,37,Inglewood,California,Region 2,Old,2904,20455,704.37,17551,604.37,6.0437
37,38,Oxnard,California,Region 2,Old,2318,64302,2774.03,61984,2674.03,26.7403
38,39,Miramar,Florida,Region 1,Old,3488,49506,1419.32,46018,1319.32,13.1932
39,40,Cape Coral,Florida,Region 1,Old,2886,52250,1810.46,49364,1710.46,17.1046
40,41,Syracuse,New York,Region 1,Old,2373,41313,1740.96,38940,1640.96,16.4096
41,42,Newport News,Virginia,Region 1,Old,2758,57625,2089.38,54867,1989.38,19.893800000000002
42,43,Lewisville,Texas,Region 2,Old,2607,16029,614.84,13422,514.84,5.1484000000000005
43,44,Carrollton,Texas,Region 2,Old,3146,49191,1563.6,46045,1463.6,14.636
44,45,San Bernardino,California,Region 2,Old,3399,59870,1761.4,56471,1661.4,16.614
45,46,Pasadena,California,Region 2,Old,2790,48254,1729.53,45464,1629.53,16.2953
46,47,Roseville,California,Region 2,Old,3220,43397,1347.73,40177,1247.73,12.4773
47,48,Murrieta,California,Region 2,Old,2344,16372,698.46,14028,598.46,5.9846
48,49,San Angelo,Texas,Region 2,Old,2939,50233,1709.19,47294,1609.19,16.0919
49,50,Olathe,Kansas,Region 2,Old,3082,41460,1345.23,38378,1245.23,12.452300000000001
50,51,Akron,Ohio,Region 1,Old,2338,50364,2154.15,48026,2054.15,20.5415
51,52,Fullerton,California,Region 2,Old,3246,44223,1362.38,40977,1262.38,12.623800000000001
52,53,Manchester,New Hampshire,Region 1,Old,2374,17006,716.34,14632,616.34,6.1634
53,54,Everett,Washington,Region 2,Old,3129,15562,497.35,12433,397.35,3.9735
54,55,West Covina,California,Region 2,Old,2939,21824,742.57,18885,642.57,6.425700000000001
55,56,Thornton,Colorado,Region 2,Old,2642,46490,1759.65,43848,1659.65,16.596500000000002
56,57,Hampton,Virginia,Region 1,Old,2871,38782,1350.82,35911,1250.82,12.508199999999999
57,58,Waterbury,Connecticut,Region 1,Old,3392,19350,570.46,15958,470.46,4.7046
58,59,Ventura,California,Region 2,Old,3228,16652,515.86,13424,415.86,4.1586
59,60,Davenport,Iowa,Region 1,Old,3175,23764,748.47,20589,648.47,6.4847
60,61,Columbia,South Carolina,Region 1,Old,2874,42803,1489.32,39929,1389.32,13.8932
